CASE_NUMBER,JOB_TITLE,SOC_CODE,SOC_TITLE,FULL_TIME_POSITION,BEGIN_DATE,END_DATE,EMPLOYER_NAME,TRADE_NAME_DBA,WORKSITE_ADDRESS1,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,PW_WAGE_LEVEL,Year,Quarter
I-200-25059-734998,Associate Chiropractor,29-1011.00,chiropractors,Y,2025-08-30 00:00:00,2028-08-29 00:00:00,Adam Jacobs Chiropractic Corporation,SF Custom Chiropractic,1365 4th Street,San Francisco,SAN FRANCISCO,CA,94158,100000,,Year,II,2025,Q2
I-200-25027-644535,CHIROPRACTIC DOCTOR,29-1011.00,chiropractors,Y,2025-03-22 00:00:00,2028-03-21 00:00:00,ULTIMATE PHYSICAL THERAPY LLC.,,10929 KATY FREEWAY,HOUSTON,HARRIS,TX,77079,124999,125000,Year,III,2025,Q2
I-200-24346-534948,Chiropractor Associate Doctor,29-1011.00,chiropractors,Y,2025-01-10 00:00:00,2028-01-09 00:00:00,Lee DC Active Family Wellness ,Active Family Wellness PLLC,11350 Random Hills Rd.,Fairfax,FAIRFAX,VA,22030,80000,,Year,II,2025,Q2
I-200-24332-505516,Chiropractor,29-1011.00,chiropractors,Y,2024-12-01 00:00:00,2025-01-01 00:00:00,E1 Spine PLLC,Ballard Seattle Chiropractic Center,5429 Russell Ave NW,Seattle,KING,WA,98107,80000,85000,Year,II,2025,Q2
I-200-24296-424241,Chiropractor,29-1011.00,chiropractors,Y,2025-04-06 00:00:00,2028-04-05 00:00:00,"Khalsa Chiropractic Office, P.C.",,376 Boylston Street,Boston,BOSTON CITY,MA,02116,124800,,Year,I,2025,Q2
I-200-24277-381783,ASSOCIATE CHIROPRACTOR,29-1011.00,chiropractors,Y,2024-10-30 00:00:00,2027-10-29 00:00:00,"R&R CHIROPRACTIC, LLC",LIFE CHIROPRACTIC AND MASSAGE,34507 Pacific Highway S,Federal Way,KING,WA,98003,80000,,Year,II,2025,Q2
I-200-24270-366611,Resident,29-1011.00,chiropractors,Y,2024-09-26 00:00:00,2027-06-11 00:00:00,"TVG-Medulla Washington Physicians, LLC",,2609 5th Avenue,Seattle,KING,WA,98121,80000,,Year,II,2025,Q2
I-200-25070-765617,Dentist,29-1021,"dentists, general",N,2025-04-01 00:00:00,2028-03-31 00:00:00,Sonoma Valley Community Health Center,,19270 Sonoma Highway,Sonoma,SONOMA,CA,95476,115,,Hour,II,2025,Q2
I-200-25059-732252,Clinical Assistant Professor,29-1021,"dentists, general",Y,2025-08-25 00:00:00,2028-08-24 00:00:00,University of Michigan,,"515 E. Jefferson Street, 1500 SAB",Ann Arbor,WASHTENAW,MI,48109,120000,,Year,II,2025,Q2
I-200-25023-637330,General Dentist,29-1021,"dentists, general",N,2025-01-30 00:00:00,2028-01-29 00:00:00,"All Kids Dental Center, LLC",,3736 West 26th Street,Chicago,COOK,IL,60623,125,,Hour,IV,2025,Q2
I-200-25083-798288,Dentist (Managing Clinical Director),29-1021.00,"dentists, general",Y,2025-04-01 00:00:00,2028-03-31 00:00:00,Virginia Dental Practice Associates PC,,8441 Sudley Rd,Manassas,PRINCE WILLIAM,VA,20109,208000,,Year,II,2025,Q2
I-200-25083-799451,General Dentist,29-1021.00,"dentists, general",Y,2025-09-06 00:00:00,2028-09-05 00:00:00,Dr. Dental of Connecticut PC,,54 Hazard Avenue,Enfield,ENFIELD,CT,06082,195000,,Year,I,2025,Q2
I-200-25081-796353,General Dentist,29-1021.00,"dentists, general",Y,2025-03-31 00:00:00,2028-03-30 00:00:00,"Gainesville Dental Associates, LLC ",,605 West Ave,Gainesville,HALL,GA,30501,182000,,Year,II,2025,Q2
I-200-25080-794744,DENTIST,29-1021.00,"dentists, general",Y,2025-08-14 00:00:00,2028-08-13 00:00:00,"Western Dental Services, Inc.",,4123 University Avenue,San Diego,SAN DIEGO,CA,92104,85.5,,Hour,III,2025,Q2
I-200-25079-791273,Associate Dentist,29-1021.00,"dentists, general",N,2025-05-25 00:00:00,2028-05-24 00:00:00,"SAB, Pompton Lakes, PC",,38 Ramapo Ave,Pompton Lakes,PASSAIC,NJ,07442,81.25,,Hour,III,2025,Q2
I-200-25079-792811,Associate Dentist,29-1021.00,"dentists, general",Y,2025-04-04 00:00:00,2028-04-03 00:00:00,Apex Dental Studio Inc,,2528 Walton Blvd,Warsaw,KOSCIUSKO,IN,46582,90.54,,Hour,III,2025,Q2
I-200-25078-786949,General Practice Resident,29-1021.00,"dentists, general",Y,2025-07-01 00:00:00,2028-06-30 00:00:00,The Charlotte Mecklenburg Hospital Authority,d/b/a Atrium Health,1000 Blythe Boulevard,Charlotte,MECKLENBURG,NC,28203,65304,,Year,,2025,Q2
I-200-25078-787068,Dentist,29-1021.00,"dentists, general",N,2025-07-01 00:00:00,2028-06-30 00:00:00,UNMC College of Dentistry,,4000 E Campus Loop,Lincoln,LANCASTER,NE,68583,32.78,,Hour,I,2025,Q2
I-200-25077-785106,General Dentist,29-1021.00,"dentists, general",Y,2025-08-05 00:00:00,2028-08-04 00:00:00,Familia Dental ROS LLC,,2600 N Main St.,Roswell,CHAVES,NM,88201,116979,,Year,I,2025,Q2
I-200-25076-781898,DENTIST,29-1021.00,"dentists, general",Y,2025-03-22 00:00:00,2027-12-18 00:00:00,"Ghazal, Rodgers, and Watanabe Dental Corporation",Network of California Dental Professionals,"4625 SECOND STREET,  STE. 100",DAVIS,YOLO,CA,95618,95.92,,Hour,III,2025,Q2
I-200-25076-781984,General Dentist,29-1021.00,"dentists, general",Y,2025-07-30 00:00:00,2028-07-29 00:00:00,Familia Dental Lubbock PLLC,,2402 19th St.,Lubbock,LUBBOCK,TX,79401,98634,,Year,I,2025,Q2
I-200-25076-779905,DENTIST,29-1021.00,"dentists, general",Y,2025-07-18 00:00:00,2028-07-17 00:00:00,NEW MEXICO PERFECT TEETH PC,,"6101 CANDELARIA ROAD, NE",ALBUQUERQUE,BERNALILLO,NM,87110,80,,Hour,II,2025,Q2
I-200-25076-779914,DENTIST,29-1021.00,"dentists, general",Y,2025-08-14 00:00:00,2028-08-13 00:00:00,"Western Dental Services, Inc.",,69160 RAMON ROAD,CATHEDRAL CITY,RIVERSIDE,CA,92234,90.62,,Hour,III,2025,Q2
I-200-25076-782228,Dentist,29-1021.00,"dentists, general",Y,2025-04-01 00:00:00,2028-03-31 00:00:00,Global Smiles Dental 7 LLC,7 Days Family Dental of Avon,10706 East US Highway 36,Avon,HENDRICKS,IN,46123,180000,,Year,II,2025,Q2
